Date,Time,EthSourceHwAddress,Eth.DestinationHwAddress,IPSourceAddress,TCPSourcePort,IPDestinationAddress,TCPDestinationPort,IPTotalLength,TCPSyn,TCPFin,TCPAck,TCPWindowSize,TCPAcknowledgmentNumber,TCPSequenceNumber,IPTimeToLive
2019-07-04,05-34-37-735,50E549D02BD2,000C2916D761,192.168.137.10,37194,10.0.0.1,3128,40,False,False,True,63296,1282557927,3125617478,128
2019-07-04,05-34-37-735,50E549D02BD2,000C2916D761,192.168.137.10,33673,192.168.137.1,139,162,False,False,True,255,2793363910,2697476315,128
2019-07-04,05-34-37-735,000C2916D761,50E549D02BD2,192.168.137.1,139,192.168.137.10,33673,40,False,False,True,255,2697476437,2793363910,128
2019-07-04,05-34-37-735,000C2916D761,50E549D02BD2,192.168.137.1,139,192.168.137.10,33673,189,False,False,True,255,2697476437,2793363910,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,33673,192.168.137.1,139,40,False,False,True,254,2793364059,2697476437,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,37583,10.0.0.1,3128,52,True,False,False,64240,0,679695021,128
2019-07-04,05-34-38-131,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37583,44,True,False,True,64240,679695022,96947417,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,37583,10.0.0.1,3128,40,False,False,True,64240,96947418,679695022,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,37583,10.0.0.1,3128,162,False,False,True,64240,96947418,679695022,128
2019-07-04,05-34-38-131,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37583,40,False,False,True,64240,679695144,96947418,128
2019-07-04,05-34-38-131,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37583,79,False,False,True,64240,679695144,96947418,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,37583,10.0.0.1,3128,341,False,False,True,64201,96947457,679695144,128
2019-07-04,05-34-38-131,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37583,40,False,False,True,64240,679695445,96947457,128
2019-07-04,05-34-38-131,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37583,1016,False,False,True,64240,679695445,96947457,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,52,True,False,False,64240,0,968376335,128
2019-07-04,05-34-38-131,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,44,True,False,True,64240,968376336,1436576967,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436576968,968376336,128
2019-07-04,05-34-38-131,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,178,False,False,True,64240,1436576968,968376336,128
2019-07-04,05-34-38-131,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,40,False,False,True,64240,968376474,1436576968,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,79,False,False,True,64240,968376474,1436576968,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,461,False,False,True,64201,1436577007,968376474,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,40,False,False,True,64240,968376895,1436577007,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37583,1016,False,False,True,64240,679695445,96947457,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37583,10.0.0.1,3128,40,False,False,True,63225,96948433,679695445,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436577007,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436578467,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436579927,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436579927,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436581387,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436582847,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436582847,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436584307,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436585767,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436585767,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436587227,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436588687,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436588687,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436590147,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436591607,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436591607,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436593067,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436594527,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436594527,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436595987,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436597447,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436597447,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436598907,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436600367,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436600367,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436601827,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436603287,968376895,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1500,False,False,True,64240,968376895,1436603287,128
2019-07-04,05-34-38-132,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37584,1114,False,False,True,64240,968376895,1436604747,128
2019-07-04,05-34-38-132,50E549D02BD2,000C2916D761,192.168.137.10,37584,10.0.0.1,3128,40,False,False,True,64240,1436605821,968376895,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,52,True,False,False,8192,0,2328313769,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37590,10.0.0.1,3128,52,True,False,False,8192,0,1037660454,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,44,True,False,True,64240,2328313770,1888432239,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,40,False,False,True,64240,1888432240,2328313770,128
2019-07-04,05-34-38-402,50E549D02BD2,000C2916D761,192.168.137.10,37587,10.0.0.1,3128,152,False,False,True,64240,1888432240,2328313770,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37587,40,False,False,True,64240,2328313882,1888432240,128
2019-07-04,05-34-38-402,000C2916D761,50E549D02BD2,10.0.0.1,3128,192.168.137.10,37590,44,True,False,True,64240,1037660455,1515552388,128
